Structure [idcode]	Structure No	Total Molweight	Molweight	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	LE from Structure No	LLE from Structure No	LELP from Structure No	Mutagenic	Tumorigenic	Reproductive Effective	Irritant	Nasty Functions	Shape Index	Molecular Flexibility	Molecular Complexity	Fragments	Non-H Atoms	Non-C/H Atoms	Metal-Atoms	Electronegative Atoms	Stereo Centers	Rotatable Bonds	Rings Closures	Small Rings	Aromatic Rings	Aromatic Atoms	sp3-Atoms	Symmetric atoms	Amides	Amines	Alkyl-Amines	Aromatic Amines	Aromatic Nitrogens	Basic Nitrogens	Acidic Oxygens	Stereo Configuration	
ffcq`@DD|CI\bbTRRVtTRTmNRuEKTsUPDCU@@@	73	299.329	299.329	299.126992	1.5944	-2.754	6	1	228.93	0.30586	80.65	-3.1067	0.44503	5.5423	3.5827	none	none	none	low		0.5	0.43464	0.84401	1	22	6	0	6	0	4	3	3	1	6	7	0	0	0	0	0	1	0	0		
e`RVLH@AIBnaibFg`ICHhhdhlddeDhhUBdepihXedmm]}MSMUAPLuMSHT@@@	74	434.430	434.430	434.150267	1.1941	-4.152	9	4	314.04	0.35263	134.49	3.2816	0.3057	5.9367	3.9061	none	none	none	none		0.5	0.41899	0.9294	1	32	10	0	10	0	4	5	5	2	9	5	0	1	0	0	0	2	1	0		
figHb@B^bfwPRBSLlzorrjlejvRmGAAQUSTuLU@@@	75	344.389	344.389	344.164854	1.3274	-3.36	6	2	256.05	0.23831	65.96	3.4361	0.39098	5.7975	3.395	none	none	none	none		0.52	0.39674	0.85083	1	25	7	0	7	0	3	4	4	1	6	10	2	0	1	0	1	0	0	0		
fdehB@LLxYp@cIEEiddheCb`iV]USTDETDHT@@	76	263.368	263.368	263.120465	0.3619	-1.017	5	2	199	0.34387	82.14	3.3258	0.54259	6.7573	0.66698	low	none	none	none		0.55556	0.32117	0.80497	1	18	6	0	6	1	3	3	3	2	9	9	0	0	1	0	1	3	2	0	racemate	
fewHb@AASg`pRFQQQJHqIHqJIIIdkNKWlxHFJjfijXj@@	77	356.400	356.400	356.164854	2.1547	-3.586	6	2	263.8	0.24284	73.8	5.7741	0.37534	4.9588	5.7406	none	none	none	none		0.5	0.42958	0.86425	1	26	7	0	7	0	3	4	4	1	6	8	2	1	0	0	0	0	0	0		
ek`TLH@Djn@m`ICHhheDXddihliddfIGHfaechHF@`hZfjXJ@@@	78	392.429	392.429	392.153621	3.7891	-5.816	5	1	296.28	0.1993	67.76	-1.9161	0.33625	3.3188	11.269	none	none	none	low		0.51724	0.44427	0.87987	1	29	6	0	6	0	5	4	4	2	12	7	0	0	0	0	0	0	0	0		
ek`\L@@DBB`LalbbTRRVtRTtJbbRhxdtBRVNZfZj@HZBBJ@@@	79	389.454	389.454	389.173942	3.7058	-4.914	6	2	301.39	0.23395	79.79	-0.23113	0.33599	3.3966	11.03	none	none	none	high		0.51724	0.42383	0.85194	1	29	6	0	6	0	5	4	4	2	12	7	0	1	0	0	0	0	0	0		
edVVLH@A@djfnnB`PICHhheDXddiiheMDdddqHxDMm]B}}A@qUUSMSUULUTEe@@	80	468.531	468.531	468.228517	1.2488	-3	9	3	343.59	0.26808	106.14	7.0871	0.28636	5.8481	4.361	none	none	none	none		0.5	0.46059	0.9009	1	34	10	0	10	1	4	5	5	1	6	13	2	2	1	1	0	0	1	0	racemate	
fcHb@HiKTJpRFQQQJKIJYSPjIIIdmN[v^xH@@hfZfi`h@@	81	378.406	378.406	378.149204	2.4049	-5.432	6	3	280.24	0.27041	96.58	3.3639	0.34745	4.6866	6.9215	none	none	none	none		0.5	0.40918	0.8762	1	28	7	0	7	0	4	4	4	2	12	4	0	1	0	0	0	0	0	0		
fi{H`@DDbdA\bbTRRVtRTJfdirV`qZfZj@Bfjh@@	82	340.426	340.426	340.189926	2.921	-4.063	6	2	265.32	0.26941	83.45	-4.1793	0.38886	4.1652	7.5118	none	none	none	low		0.52	0.46038	0.81905	1	25	6	0	6	0	4	3	3	1	6	9	2	1	0	0	0	1	0	0		
ffcq`@DDbCI\bbTRRVtRTLuNRtFKTsUP@SU@@@	83	299.329	299.329	299.126992	1.5944	-2.754	6	1	228.93	0.30586	80.65	-3.1067	0.44155	5.4865	3.6109	none	none	none	low		0.54545	0.43464	0.81812	1	22	6	0	6	0	4	3	3	1	6	7	0	0	0	0	0	1	0	0		
fmoPb@HyyLDadTTRbLbRqbTRRSIN|UhupPLUUSSULU@@@	84	368.450	368.450	368.190006	3.9339	-5.615	4	1	278.47	0.17614	58.53	-1.555	0.35952	3.1418	10.942	none	none	none	low		0.48148	0.446	0.86954	1	27	5	0	5	0	4	4	4	1	6	11	2	0	0	0	0	0	0	0		
fdeQB@C^tBPrJJIQIJEY\UJw`tsMLuULBFd	85	244.268	244.268	244.101191	1.6898	-2.348	3	0	187.74	0.13348	24.83	3.3048	0.53889	5.3808	3.1357	none	none	none	none		0.44444	0.3161	0.8584	1	18	4	0	4	0	0	3	2	0	0	4	0	0	0	0	0	0	0	0		
ekhRD@@DBAB`CDfVUWvUmf^ZNIMHdemecfifjh@Jjjjb`@@	86	394.517	394.517	394.236876	3.2256	-4.975	6	2	298.22	0.20461	65.96	5.7754	0.33424	3.8399	9.6505	none	none	none	none		0.48276	0.39102	0.86823	1	29	6	0	6	3	6	5	6	1	6	15	0	0	1	0	1	0	0	0	unknown chirality	
e`\RD@@DBBm`LlbbTRRVtRTtLRRRTMGDf`RQusTsUPACUSUUQ@PCH	87	434.582	434.582	434.268176	3.8463	-4.2	6	1	350.09	0.16039	65.01	3.1417	0.30269	3.2142	12.707	none	none	none	low		0.53125	0.49243	0.85304	1	32	6	0	6	0	4	4	3	1	6	14	0	1	0	0	0	0	1	0		
fluqB@IZMDDadTRTJbTRRUFV\EL@EMSTqP@@	88	259.283	259.283	259.112090	1.6584	-3.257	4	2	194.21	0.24443	53.49	3.0368	0.50944	5.3971	3.2554	none	none	none	none		0.52632	0.37294	0.81387	1	19	5	0	5	0	2	3	3	1	6	4	0	0	0	0	0	0	0	0		
dk}@@@uJYg}bkatzB`j``@	89	174.246	174.246	174.115698	1.2694	-2.196	2	2	144.12	0.22953	33.97	2.705	0.74405	5.7812	1.7061	low	low	high	none	oxiran/aziridine	0.61538	0.33694	0.71675	1	13	2	0	2	2	2	3	4	1	6	6	0	0	2	1	1	0	1	0	unknown chirality	
efURBH@A@hbnNko`ICHhheDXddmDeEDedlUDdqHxEUMl|SSA@qUUMSMUMP@EP@@@	90	518.587	518.587	518.232934	4.0426	-4.412	8	1	391.43	0.20231	91.31	2.606	0.25437	3.0032	15.893	none	none	none	low		0.57895	0.4939	0.88492	1	38	9	0	9	0	7	5	5	2	12	12	4	2	0	0	0	0	0	0		
fcpP@DDJCJ}yEDhddmhdihUEMJ\ehJ^sZfZj@HZfVh`@@	91	377.399	377.399	377.137557	1.9042	-3.896	7	3	279.39	0.31014	107.86	0.72019	0.34498	5.1368	5.5198	none	none	none	low		0.53571	0.44615	0.8577	1	28	7	0	7	0	5	4	4	1	6	6	0	1	0	0	0	0	0	1		
el^RL@@DBHf`BcdfVUWyV~zV[WzNIM@dikohVifj`BIjdIBJbHJb@@	92	468.555	468.555	468.216141	3.8411	-5.515	7	2	361.53	0.22687	92.15	-1.5074	0.2758	3.1951	13.927	none	none	none	low		0.45714	0.36649	0.92876	1	35	7	0	7	1	7	5	5	2	12	9	2	1	0	0	0	0	1	0	racemate	
ehZ\D@@DBK`ClbbTRRVtRTtrTrbbQhxdtBRZz~AZfZj@H@B`XB`@@@	93	435.526	435.526	435.194677	5.034	-7.645	5	2	335.95	0.19146	84.55	-0.33939	0.29232	1.9975	17.221	none	none	none	low		0.48485	0.39759	0.88694	1	33	5	0	5	0	5	5	5	3	18	5	2	1	0	0	0	0	0	0		
fluI@@DLTXFQSQQISFIKBuIW`mA@qUUEP}P@	94	258.324	258.324	258.148061	1.9307	-3.339	5	2	199.06	0.28544	75.01	4.3515	0.50737	5.0962	3.8053	none	none	low	low		0.57895	0.33131	0.81047	1	19	5	0	5	1	3	3	3	2	9	6	0	1	0	0	0	2	1	0	racemate	
el^^LH@A@hbjcd^Ng`ICHhheDXddmDeEDehedVIG@fimohTXHFJjijej`X@j@@@	95	477.499	477.499	477.192466	1.4334	-2.941	10	2	349.13	0.29384	119.89	7.6565	0.27525	5.5889	5.2076	none	none	none	none		0.54286	0.47073	0.8988	1	35	11	0	11	0	4	5	5	2	12	8	2	2	0	0	0	2	0	0		
fbmQ@@DD@drrj~rmSdmQRuLuU@AT@@@	96	268.359	268.359	268.157563	3.4266	-3.998	3	1	216.18	0.16657	41.46	-0.74189	0.48137	3.5911	7.1184	none	none	none	low		0.55	0.44182	0.78706	1	20	3	0	3	0	3	3	3	1	6	7	0	0	0	0	0	0	0	0		
fhyI@@DLUxFQSQQISFIBuIW`mA@qUQTCT@@	97	230.270	230.270	230.116761	0.7233	-1.672	5	3	174.2	0.37158	83.8	2.2558	0.56596	6.2899	1.278	none	none	none	none		0.52941	0.28798	0.8153	1	17	5	0	5	1	2	3	3	2	9	5	0	1	1	1	0	2	2	0	racemate	
fegIb@C^SgdQ`dLbbbTQRRTRTrRSIEkv\DCEULtuLT@@	98	358.372	358.372	358.144119	0.6969	-4.147	7	3	270.48	0.31429	99.66	3.2017	0.36982	6.3119	1.8845	none	none	none	none		0.57692	0.47932	0.85557	1	26	8	0	8	0	6	3	3	1	6	6	0	1	0	0	0	0	0	0		
