Structure [idcode]	Structure No	Total Molweight	Molweight	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	LE from Structure No	LLE from Structure No	LELP from Structure No	Mutagenic	Tumorigenic	Reproductive Effective	Irritant	Nasty Functions	Shape Index	Molecular Flexibility	Molecular Complexity	Fragments	Non-H Atoms	Non-C/H Atoms	Metal-Atoms	Electronegative Atoms	Stereo Centers	Rotatable Bonds	Rings Closures	Small Rings	Aromatic Rings	Aromatic Atoms	sp3-Atoms	Symmetric atoms	Amides	Amines	Alkyl-Amines	Aromatic Amines	Aromatic Nitrogens	Basic Nitrogens	Acidic Oxygens	Stereo Configuration	
fmoh`@DDbvXBiLljorm}r}NRtEHymSMU@DSRuQ@@@	50	363.420	363.420	363.169525	2.1228	-3.398	7	2	279.35	0.28047	88.38	1.8897	0.37097	5.1782	5.7223	none	none	none	low		0.55556	0.40248	0.84127	1	27	7	0	7	0	4	4	4	2	11	6	0	1	0	0	0	2	1	0		
eolZDH@A@hbjnK`ICHhheDXddmDeEDdlfIG@fiacmghHFJjijfjibj@@@	51	425.506	425.506	425.222703	2.3138	-3.503	7	2	314.38	0.21506	77.04	7.7718	0.32272	4.9786	7.1697	none	none	none	none		0.54839	0.4373	0.8762	1	31	8	0	8	0	4	5	5	1	6	13	3	1	1	1	0	0	1	0		
fdei@@DLTZpLbfbbRfLTPmRUzKPPLUUE@@@	52	245.285	245.285	245.127660	-0.1971	-1.598	6	2	183.1	0.32971	78.25	4.8269	0.55515	7.4811	-0.35504	none	none	low	none		0.5	0.29423	0.83726	1	18	6	0	6	0	2	3	3	2	9	5	0	1	0	0	0	2	1	0		
fchb@AAbVoE`dLbbbTQbRRtRTrRSINBwl}pPLUUSUMSEP@@	53	385.442	385.442	385.191403	1.4421	-2.469	7	2	286.36	0.2361	77.04	8.9962	0.35648	5.8336	4.0454	none	none	none	none		0.53571	0.44325	0.86791	1	28	8	0	8	0	3	4	4	1	6	10	2	1	1	1	0	0	1	0		
el^QLH@A@hbjckd^Ng`ICHhheDXddmDeEDehedVIG@fimohTXHFJjijej`X@j@@@	54	478.487	478.487	478.187715	1.1452	-2.578	11	2	347.89	0.32642	132.78	7.6565	0.28487	6.1224	4.0201	none	none	none	high		0.54286	0.47073	0.88837	1	35	12	0	12	0	4	5	5	2	12	8	4	2	0	0	0	3	0	0		
ek`ZDH@AKDjfnM`ICHhheDXddiididdfIG@naechHFJjjZijXj@@@	55	399.468	399.468	399.207053	2.323	-3.568	7	2	300.12	0.22528	77.04	6.4254	0.34343	4.9366	6.7642	none	high	none	none		0.51724	0.45871	0.88404	1	29	8	0	8	0	4	4	4	1	6	11	0	1	0	0	0	0	1	0		
fcpb@BIKIXHcHhhdmCDeBheDddpSoU{O\DDL@EMMTpT@@	56	393.873	393.873	393.124404	4.3818	-5.632	5	2	294.55	0.20543	70.56	-0.18272	0.35531	2.87	12.332	none	none	none	low		0.53571	0.41431	0.85699	1	28	6	0	6	0	4	4	4	2	12	5	0	1	0	0	0	0	0	0		
e`\RD@@DBHe`BdfVUWyV~ueUzNIM@dkgfifj`BIjZVja@HzegYQP	57	428.534	428.534	428.221226	4.3913	-5.242	6	2	346.33	0.20795	82.92	0.30625	0.31056	2.8528	14.14	none	none	none	low		0.59375	0.42959	0.84284	1	32	6	0	6	0	6	4	3	1	6	8	0	1	0	0	0	0	1	0		
el^RDD@A@djnO`IBFPrJJIQFIIIJKJJIIIKQbPJIiXxEyFBAbjjfi`jAhJ`@@	58	478.541	478.541	478.218032	4.4508	-5.339	6	1	356.27	0.15761	65.01	0.94791	0.28365	2.7858	15.691	none	none	none	low		0.51429	0.44161	0.89827	1	35	8	0	8	0	4	5	5	2	12	10	0	1	1	0	1	0	0	0		
fnsqb@K^CpUPRFQQQJHkJIQIILeEIVpPLUMSTqP@@	59	317.319	317.319	317.117570	1.5714	-3.398	6	2	234.22	0.30104	79.79	0.63558	0.4312	5.6577	3.6443	none	none	none	none		0.52174	0.43247	0.84822	1	23	7	0	7	0	4	3	3	1	6	6	0	0	0	0	0	0	0	0		
ehRRL@@DBBk`LolbbTRRVtRTtJRTRTJhxdtBRN^ZfZj@HZj@Hj`@@@	60	446.549	446.549	446.231791	3.6224	-5.188	7	3	351.19	0.24426	105.81	-0.99317	0.30023	3.5994	12.066	high	high	none	high		0.60606	0.49599	0.84822	1	33	7	0	7	0	8	4	4	2	12	10	0	1	1	0	1	0	0	0		
fcQ`@DQ@DZSKJjl|n}styhvZkvuSUKLtrD@t@qYReP	61	370.407	370.407	370.131743	3.2097	-2.871	5	3	287.84	0.21574	78.43	4.1528	0.35349	4.005	9.0801	none	none	none	none		0.42857	0.29824	0.90627	1	28	5	0	5	0	2	4	3	1	6	2	0	2	0	0	0	0	0	0		
fa{IB@BNCEhICHhheEdbheDddrRmIsWlDEETuMSEP@@	62	328.390	328.390	328.169939	2.1494	-3.979	5	2	246.05	0.20736	56.73	4.8799	0.412	5.0582	5.217	none	none	none	none		0.5	0.38688	0.84897	1	24	6	0	6	0	3	4	4	1	6	9	2	0	1	0	1	0	0	0		
f`ipb@JLdSpIAIf[^UZ\TZsjfZfiZhPhaR@	63	221.191	221.191	221.060055	-0.1271	-1.769	5	1	149.02	0.35297	61.77	-0.68022	0.6174	7.3278	-0.20586	none	none	none	none		0.4375	0.16357	0.86118	1	16	6	0	6	1	0	3	2	0	0	3	0	1	0	0	0	0	0	0	racemate	
eod\L@@DBB`LglbbTRRVtRTtJRbbRhxdtBRNnZfZj@HZhBBh@@@	64	417.507	417.507	417.205242	3.318	-4.708	6	3	326.76	0.22527	90.79	0.19391	0.31836	3.8758	10.422	none	none	none	low		0.54839	0.47019	0.84479	1	31	6	0	6	0	7	4	4	2	12	9	0	1	0	0	0	0	0	0		
fluQB@IZbBPrJIJEQJIIJcCNBf@BffjXh@@	65	258.295	258.295	258.116841	2.7291	-3.698	3	1	196.51	0.18325	41.46	-2.0193	0.51894	4.458	5.259	none	none	none	low		0.52632	0.37278	0.81387	1	19	4	0	4	0	2	3	3	1	6	5	0	0	0	0	0	0	0	0		
figqB@B^ctD`dsKNk|ljkIZldkQpPTUTtuSEP@@	66	341.429	341.429	341.190340	3.5621	-4.69	4	1	262.11	0.15093	44.7	0.89235	0.39403	3.6184	9.0402	none	none	none	low		0.52	0.39559	0.85083	1	25	5	0	5	0	3	4	4	1	6	11	2	0	1	0	1	0	0	0		
egh\H@@DBH`DfVUWyV{VUVcbSPIKZyjYjh@bjBBJ@@@	67	401.552	401.552	401.246712	5.2579	-5.583	4	1	327.52	0.12079	44.7	-0.48156	0.32806	1.916	16.027	none	none	none	low		0.5	0.45896	0.83928	1	30	4	0	4	0	8	4	4	2	12	10	2	0	1	0	1	0	0	0		
el^RBH@EDfgnG@o`ICHhheDXddiiheDddllVIEMNmegk`XHFJifZijjfhjhAJ@@	68	480.538	480.538	480.217284	2.1055	-4.232	8	1	347.42	0.23093	98.92	3.0266	0.28094	5.062	7.4945	high	low	high	low	oxiran/aziridine	0.54286	0.45644	0.92418	1	35	9	0	9	1	6	5	5	1	6	14	2	1	1	1	0	0	1	0	racemate	
eghZL@@DBHnc`BfdfVUWyV~{e^cbSPIKXyjYjh@bYjjjH@@	69	409.488	409.488	409.211390	1.3543	-2.4	8	2	311.52	0.25889	94.11	4.6675	0.32747	5.8069	4.1356	none	none	none	high	limit! oxal-diamide	0.56667	0.39245	0.84166	1	30	8	0	8	0	4	4	4	1	6	11	2	2	1	1	0	0	1	0		
edV^DH@A@djfaknO`ICHhheDXdddhlhhdddlqHEEtl\B}CA@qUUSUHU@pU@@@	70	463.515	463.515	463.213201	1.8009	-3.863	9	2	345.14	0.25946	102.82	5.4325	0.2887	5.354	6.238	none	none	none	none		0.52941	0.438	0.90142	1	34	10	0	10	0	4	5	5	2	12	9	0	1	0	0	0	2	0	0		
edVZDD@A@hbjnG`I@FPrJJIQFIIKQIQQIIIZLRNAMS[_WPpPLUUSUHU@tEP@@@	71	465.503	465.503	465.197631	3.0381	-4.628	7	2	340.21	0.19873	77.04	7.6565	0.28845	4.1106	10.533	none	none	none	none		0.52941	0.44074	0.88837	1	34	9	0	9	0	4	5	5	2	12	8	2	1	1	0	1	0	0	0		
el^VLH@A@hbj`^Ng`ICHhheDXddmDeEDehedVIG@fimohTXHFJjijej`X@j@@@	72	476.510	476.510	476.197217	1.9417	-3.126	9	2	350.37	0.26149	107	7.6565	0.27997	5.201	6.9354	none	none	none	none		0.54286	0.47073	0.89639	1	35	10	0	10	0	4	5	5	2	12	8	2	2	0	0	0	1	0	0		
